,Strain,Site,Project,Species,Host.family..plant..or.order.or.class..lichen.,Plant.or.Lichen.host,Site.Host,RICHNESS,ln_richness,Location,Habitat,Latitude,Longitude,Mean_annual_temperature,Mean_precipitation_driest_quarter,Mean_precipitation_wettest_quarter,Mean_annual_precipitation
1107,JS0390,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1109,JS0392,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1111,JS0393,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1113,JS0394,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1115,JS0395,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1117,JS0396,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1119,JS0398,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1121,JS0399,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1123,JS0400,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1125,JS0402,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1127,JS0404,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1129,JS0405,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1131,JS0406,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1133,JS0407,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1135,JS0409,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1137,JS0410,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1139,JS0413,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1141,JS0414,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1143,JS0421,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1145,JS0422,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1147,JS0423,Tucson Mountains,Arizona,Ephedra sp.,Ephedraceae,Plant-gnetophyte,Tucson Mountains_Plant-gnetophyte,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1149,LG0127-ITS1F,Tucson Mountains,Arizona,Simmondsia chinensis,Simmondsiaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1151,LG0128,Tucson Mountains,Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1153,LG0129,Tucson Mountains,Arizona,Simmondsia chinensis,Simmondsiaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1155,LG0152,Tucson Mountains,Arizona,Ambrosia deltoidea,Asteraceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1157,LG0153,Tucson Mountains foothills,Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1158,LG0154,Tucson Mountains foothills,Arizona,Simmondsia chinensis,Simmondsiaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1159,LG0155,Tucson Mountains foothills,Arizona,Simmondsia chinensis,Simmondsiaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1160,LG0156,Tucson Mountains foothills,Arizona,Simmondsia chinensis,Simmondsiaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1161,LG0157,Tucson Mountains foothills,Arizona,Phoradendron californicum,Viscaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1162,LG0159,Tucson Mountains foothills,Arizona,Phoradendron californicum,Viscaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1163,LG0160,Tucson Mountains foothills,Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1164,LG0161,Tucson Mountains foothills,Arizona,Phoradendron californicum,Viscaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1165,LG0162,Tucson Mountains foothills,Arizona,Phoradendron californicum,Viscaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1166,LG0163,Tucson,Arizona,Platycladus orientalis,Cupressaceae,Plant-conifer,Tucson_Plant-conifer,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
1167,LG0164,Tucson,Arizona,Platycladus orientalis,Cupressaceae,Plant-conifer,Tucson_Plant-conifer,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
1168,LG0166,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1169,LG0168,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1170,LG0169,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1171,LG0170,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1172,LG0171,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1173,LG0172,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1174,LG0173,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1175,LG0174,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1176,LG0175,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1177,LG0176,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1178,LG0177,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1179,LG0179,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1180,LG0180,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1181,LG0181,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1182,LG0182,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1183,LG0183,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1184,LG0184,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1185,LG0185,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1186,LG0186,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1187,LG0187,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1188,LG0188A,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1189,LG0188B,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1190,LG0189,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1191,LG0190,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1192,LG0191,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1193,LG0192,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1194,LG0193,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1195,LG0194,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1196,LG0195,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1197,LG0196,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1198,LG0197,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1199,LG0198,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1200,LG0199,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1201,LG0202,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1202,LG0203,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1203,LG0204,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1204,LG0205,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1205,LG0206,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1206,LG0208,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1207,LG0209,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1208,LG0210,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1209,LG0211,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1210,LG0212,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1211,LG0213,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1212,LG0214,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1213,LG0215,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1214,LG0216,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1215,LG0217,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1216,LG0218,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1217,LG0219,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1218,LG0220,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1219,LG0221,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1220,LG0223,Tucson Mountains foothills,Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1221,LG0224,Tucson Mountains foothills,Arizona,Phoradendron californicum,Viscaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1222,LG0226,Tucson Mountains foothills,Arizona,Phoradendron californicum,Viscaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1223,LG0229A,Tucson Mountains,Arizona,Simmondsia chinensis,Simmondsiaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1225,LG0231,Tucson Mountains,Arizona,Simmondsia chinensis,Simmondsiaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm,27,3.295836866,Arizona,Sonoran Desert,32.22,-111.06,20.4,5,60,27
1227,LG0234,Tucson Mountains,Arizona,Simmondsia chinensis,Simmondsiaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1229,LG0235,Tucson Mountains,Arizona,Simmondsia chinensis,Simmondsiaceae,Plant-angiosperm,Tucson Mountains_Plant-angiosperm,27,3.295836866,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1231,LG0239,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1233,LG0240,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.28,-110.97,20.6,5,56,26
1235,LG0241,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.28,-110.97,20.6,5,56,26
1237,LG0242,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.28,-110.97,20.6,5,56,26
1239,LG0244,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1241,LG0245,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1243,LG0246,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.28,-110.97,20.6,5,56,26
1245,LG0248,"Tucson, First/River/CAC",Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1247,LG0250,Tucson,Arizona,Juniperus virginiana,Cupressaceae,Plant-conifer,Tucson_Plant-conifer,6,1.791759469,Arizona,Sonoran Desert,31.63,-111.05,18.4,5,102,35
1248,LG0251,"Tucson, First/River/CAC",Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1250,LG0252,"Tucson, First/River/CAC",Arizona,Larrea tridentata,Zygophyllaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1252,LG0254,Tucson Mountains foothills,Arizona,Simmondsia chinensis,Simmondsiaceae,Plant-angiosperm,Tucson Mountains foothills_Plant-angiosperm,7,1.945910149,Arizona,Sonoran Desert,32.23,-111.12,20.2,5,62,28
1253,LG0259,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1255,LG0261,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1257,LG0264,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1259,LG0266,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1261,LG0268,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1263,LG0270,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1265,LG0271,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1267,LG0273,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1269,LG0274,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1271,LG0276,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.28,-110.97,20.6,5,56,26
1273,LG0277,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.29,-110.94,20.6,5,56,26
1275,LG0278,"Tucson, First/River/CAC",Arizona,Parkinsonia microphylla,Fabaceae,Plant-angiosperm,"Tucson, First/River/CAC_Plant-angiosperm",15,2.708050201,Arizona,Sonoran Desert,32.28,-110.97,20.6,5,56,26
